language,word,group

Albanian,kompjuter,c
Belarusian,камп’ютар,c
Bulgarian,компютър,c
Danish,computer,c
Dutch,computer,c
English,computer,c
German,Computer,c
Italian,computer,c
Lithuanian,kompiuteris,c
Luxembourgish,Computer,c
Macedonian,компјутер,c
Maltese,kompjuter,c
Polish,komputer,c
Portuguese,computador,c
Russian,компьютер,c
Scottish,coimpiutair,c
Ukrainian,комп'ютер,c

Catalan,ordinador,o
French,ordinateur,o
Galician,ordenador,o
Spanish,ordenador,o
Basque,ordenagailu,o

Breton,urzhiataer,organise

Czech,počítač,calculate
Slovak,počítač,calculate
Icelandic,tölva,calculate
Faroese,telda,calculate
Estonian,arvuti,calculate
Greek,υπολογιστής\n(ypologistís),calculate
Hungarian,számítógép,calculate
Irish,ríomhaire,calculate
Romanian,calculator,calculate
Welsh,cyfrifiadur,calculate

Finnish,tietokone,data
Latvian,dators,data
Norwegian,datamaskin,data
Turkish,bilgisayar,data
Swedish,dator,data

Serbo-Croatian,рачунар\nračunalo,calculate
Slovene,računalnik,calculate

