country,hos,hosdate,hog,hogdate
Croatia,Kolinda Grabar-Kitarović,2015,Jadranka Kosor,2009
Denmark,Margrethe II,,Helle Thorning-Schmidt,2011
Estonia,Kersti Kaljulaid,2016,,
Finland,Tarja Halonen,2000,Anneli Jäätteenmäki,2003
France,,,Édith Cresson,1991
Germany,,,Angela Merkel,2005
Iceland,Vigdís Finnbogadóttir,1980,Jóhanna Sigurðardóttir,2009
Ireland,Mary Robinson,1990,,
Kosovo,Atifete Jahjaga,2011,,
Latvia,Vaira Vīķe-Freiberga,1999,Laimdota Straujuma,2014
Lithuania,Dalia Grybauskaitė,2009,Kazimira Prunskienė,1990
Malta,Agatha Barbara,1982,,
Moldova,,,Zinaida Greceanîi,2008
Netherlands,Juliana,,,
Norway,,,Gro Harlem Brundtland,1981
Poland,,,Hanna Suchocka,1992
Portugal,,,Maria de Lourdes Pintasilgo,1979
San Marino,Maria Lea Pedini-Angelini,1981,Maria Lea Pedini-Angelini,1981
Serbia,,,Ana Brnabić,2017
Slovakia,,,Iveta Radičová,2010
Slovenia,,,Alenka Bratušek,2013
Switzerland,Elisabeth Kopp,1984,Elisabeth Kopp,1984
Turkey,,,Tansu Çiller,1993
UK,Elizabeth II,,Margaret Thatcher,1979
Ukraine,,,Yulia Tymoshenko,2005
Romania,,,Viorica Dăncilă,2018
