language,winners,countries
French,Prudhomme|Maeterlinck|Rolland|France|Bergson|du Gard|Gide|Mauriac|Camus|Perse|Sartre|Simon|Le Clézio|Modiano,France|Belgium
German,Mommsen|Eucken|Heyse|Hauptmann|Spitteler|Mann|Hesse|Sachs*|Böll|Canetti*|Grass|Jelinek|Müller|Handke,Germany|Switzerland|Austria|Bulgaria|Romania
English,Kipling|Yeats|Shaw|Galsworthy|Eliot|Russell|Churchill|Beckett|Golding|Heaney|Pinter|Lessing|Ishiguro,UK|Ireland
Swedish,Lagerlöf|Heidenstam|Karlfeldt|Lagerkvist|Johnson|Martinson|Tranströmer,Sweden
Russian,Bunin*|Pasternak|Sholokhov|Solzhenitsyn|Brodsky|Alexievich,Russia|Belarus
Spanish,Echegaray|Benavente|Jiménez|Aleixandre|Cela,Spain
Polish,Sienkiewicz|Reymont|Miłosz|Szymborska|Tokarczuk,Poland
Italian,Carducci|Deledda|Pirandello|Quasimodo|Montale|Fo,Italy
Danish,Gjellerup|Pontoppidan|Jensen,Denmark
Norwegian,Bjørnson|Hamsun|Undset,Norway
Occitan,Mistral,France
Finnish,Sillanpää,Finland
Icelandic,Laxness,Iceland
Serbo-Croat,Andrić*,Yugoslavia
Greek,Seferis|Elytis,Greece
Czech,Seifert,Czech Republic
Portuguese,Saramago,Portugal
Hungarian,Kertész,Hungary
Turkish,Pamuk,Turkey
Yiddish,Singer*,Poland

