country,total_pop,muslim_neg,muslim_pop,jew_neg,jew_pop
UK,66040229,18,2130000,6,330000
France,67000000,22,5720000,6,550000
Netherlands,17400000,28,850000,5,43000
Germany,83100000,24,4450000,6,150000
Bulgaria,7057504,21,861015,18,4000
Sweden,10182291,28,700000,3,20000
Spain,46659302,42,1180000,19,16000
Italy,62246674,55,2987840,15,34000
Greece,10761523,57,264318,38,5200
Poland,38430000,66,6796,31,7000
Lithuania,2793284,56,3000,26,4700
Czech Republic,10686269,64,15000,17,5000
Slovakia,5443120,77,10866,30,3600
Hungary,9825704,58,50000,18,75000
Russia,145550000,19,15000000,18,320000
Ukraine,42263873,21,400000,11,90000
