bbox,color
1205|62|1304|92,255|255|153
107|91|265|128,153|102|102
1208|108|1297|138,153|153|102
1392|144|1499|182,102|102|51
349|147|541|200,204|51|51
1208|151|1296|178,204|204|102
758|156|876|190,255|153|102
588|161|745|203,204|51|0
64|206|232|251,204|153|153
871|251|974|282,255|153|0
588|266|742|311,255|102|51
1241|272|1347|311,204|204|153
239|274|383|312,102|51|51
1014|293|1132|331,255|204|102
391|308|561|348,153|51|51
1441|345|1546|373,102|153|0
1195|346|1322|385,255|204|0
779|360|903|393,204|102|51
142|365|282|402,255|153|153
607|368|754|409,255|51|0
1452|385|1566|415,153|153|51
1077|390|1186|425,255|204|51
1453|424|1574|452,153|204|0
905|437|1001|468,204|102|0
1003|442|1086|472,204|153|51
1471|459|1584|491,51|153|153
1140|461|1236|491,204|153|0
280|467|407|503,255|102|102
430|468|593|510,51|0|0
637|483|784|523,255|0|0
1186|492|1319|528,204|204|51
1475|500|1583|530,204|255|0
1023|504|1147|541,102|51|0
819|514|949|555,153|51|0
61|515|221|566,255|204|204
1423|536|1536|570,153|0|102
1172|545|1338|584,51|51|0
979|569|1113|605,153|102|51
667|578|805|619,204|0|0
818|581|945|621,255|102|0
255|596|388|638,204|102|102
418|602|550|645,102|0|0
1175|611|1280|646,153|153|0
1000|686|1103|717,255|153|51
1111|696|1223|733,102|102|0
910|724|1013|757,204|153|102
633|735|798|786,153|0|0
1134|768|1259|805,204|204|0
852|772|960|803,255|204|153
103|837|246|878,255|51|51
402|895|530|934,153|204|51
